Unnamed: 0,specfile,id,OBJECT,cgm_name,gal_ra,gal_dec,z,OII_flux,OII_flux_sig,OII_LQ,Hbeta_flux,Hbeta_flux_sig,Hbeta_LQ,OIII_flux,OIII_flux_sig,OIII_LQ,Halpha_flux,Halpha_flux_sig,Halpha_LQ,NII_flux,NII_flux_sig,NII_LQ,SIIa_flux,SIIa_flux_sig,SIIa_LQ,SIIb_flux,SIIb_flux_sig,SIIb_LQ,Comment,Distance,Luminosity_Ha,Luminosity_Hb,SFR_Ha,SFR_Hb,O3HB,N2,O3N2,Z_low,Z_up,R23
Joe,J022601.51+001532.5.fits,J022601.51+001532.5._03,J0226+0015,J0226+0015_271_194,36.50630188,0.2590399981,0.3527153,-99,-99.0,-99,2.13e-17,2.44e-18,1.0,2.25e-17,1.76e-18,1.0,3.12e-17,2.47e-18,1.0,1.12e-17,2.57e-18,1.0,1.29e-17,7.99e-19,1,1.76e-18,1.14e-18,1,,5.78172306074451e+27,1.3106267541982874e+40,2.558998737572156e+40,0.1035395135816647,0.2021609002682003,1.056338028169014,0.358974358974359,0.4687394860208859,8.580003364473317,-99.0,-99
Joe,J022602.41+001536.6.fits,J022602.41+001536.6._01,J0226+0015,J0226+0015_272_181,36.51005936,0.2601700127,0.2978321,-99,-99.0,-99,-99.0,-99.0,-99.0,2.19e-17,1.87e-18,1.0,2.08e-17,8.41e-19,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99.0,2,,4.75114880543464e+27,5.900250690092154e+39,-99.0,0.04661198045172801,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99
Joe,J022606.98+001451.4.fits,J022606.98+001451.4._02,J0226+0015,J0226+0015_251_119,36.52907944,0.2476200014,0.3846623,4.2e-17,5.28e-18,1,5.21e-17,2.23e-18,1.0,-99.0,-99.0,-99.0,1.61e-16,1.31e-18,1.0,5.91e-17,9.82e-19,1.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,6.400527038385377e+27,8.288333415591336e+40,7.670878316295667e+40,0.6547783398317155,0.6059993869873577,-99.0,0.3670807453416149,-99.0,-99.0,8.671914114764162,-99
Joe,J022607.08+001612.7.fits,J022607.08+001612.7._01,J0226+0015,J0226+0015_291_119,36.52951813,0.2702000141,0.2995563,-99,-99.0,-99,1.38e-17,1.51e-18,0.0,1.56e-17,1.73e-18,1.0,2.32e-17,8.62e-19,1.0,3.97e-18,7.05e-19,1.0,6.71e-18,7.03e-19,1,4.4e-18,7.56e-19,1,,4.7828777018479163e+27,6.66924084242753e+39,1.1345758515902147e+40,0.052687002655177485,0.08963149227562696,1.1304347826086956,0.1711206896551724,0.8199429900810097,8.467618243174078,-99.0,-99
Joe,J022608.02+001427.2.fits,J022608.02+001427.2._03,J0226+0015,J0226+0015_237_115,36.53340149,0.2408799976,0.5065837,4.1e-17,3.29e-18,1,2.52e-17,1.53e-18,1.0,2.88e-17,1.41e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,8.879455257491808e+27,-99.0,7.140836417745065e+40,-99.0,0.5641260770018601,1.1428571428571428,-99.0,-99.0,-99.0,-99.0,2.7698412698412693
Joe,J022609.11+001513.1.fits,J022609.11+001513.1._01,J0226+0015,J0226+0015_258_82,36.5379715,0.2536500096,0.4965645,-99,-99.0,0,2.7e-17,3.43e-18,1.0,3.93e-17,2.18e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,8.669139366661908e+27,-99.0,7.292755121379798e+40,-99.0,0.5761276545890041,1.4555555555555555,-99.0,-99.0,-99.0,-99.0,-99
Joe,J022610.26+001603.7.fits,J022610.26+001603.7._01,J0226+0015,J0226+0015_298_72,36.54273987,0.2676999867,0.334506,-99,-99.0,-99,1.59e-17,1.08e-18,1.0,3.83e-17,1.38e-18,1.0,5.25e-17,1.33e-18,1.0,-99.0,-99.0,-99.0,7.23e-18,1.33e-18,1,5.74e-18,3.48e-19,1,,5.43514713813669e+27,1.9489099761070977e+40,1.6880901381617932e+40,0.1539638881124607,0.13335912091478166,2.408805031446541,-99.0,-99.0,-99.0,-99.0,-99
Joe,J022610.44+001514.0.fits,J022610.44+001514.0._03,J0226+0015,J0226+0015_255_62,36.54347992,0.2538999915,0.5070571,5.97e-17,3.55e-18,1,2.77e-17,2.07e-18,1.0,7.15e-17,1.7e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,8.88942032190152e+27,-99.0,7.866880431948844e+40,-99.0,0.6214835541239587,2.581227436823105,-99.0,-99.0,-99.0,-99.0,4.736462093862816
Joe,J022611.06+001323.6.fits,J022611.06+001323.6._02,J0226+0015,J0226+0015_202_136,36.54608917,0.2232300043,0.47494,-99,-99.0,-99,8.13e-17,2.84e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,Wrong redshift? Hbeta?,8.21909303422218e+27,-99.0,1.9738504068598115e+41,-99.0,1.559341821419251,-99.0,-99.0,-99.0,-99.0,-99.0,-99
Joe,J022611.40+001341.3.fits,J022611.40+001341.3._01,J0226+0015,J0226+0015_203_118,36.54748917,0.2281299978,0.3651937,1.56e-17,3.34e-18,1,1.57e-17,1.47e-18,1.0,1.65e-17,1.38e-18,1.0,1.77e-17,2.65e-18,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99,,6.021815463941412e+27,8.065624802575246e+39,2.0461168637583826e+40,0.06371843594034445,0.1616432322369122,1.0509554140127388,-99.0,-99.0,-99.0,-99.0,2.0445859872611463
